Area,Bedrooms,Bathrooms,Location,Age,Garage,Price
3866,4,3,Location3,85,1,723937.0453937766
1266,5,1,Location1,54,1,244574.08665819632
692,4,3,Location2,76,2,245236.26871584688
1271,1,2,Location4,13,0,314696.03487342707
2569,1,2,Location4,39,0,551113.6404367296
660,2,3,Location4,23,0,247383.8088020431
3281,5,2,Location4,114,2,596403.2066318477
3722,3,2,Location5,110,2,869019.3214694946
4074,3,1,Location1,107,2,703174.951285491
4460,2,1,Location4,92,0,922276.6280117055
1628,2,1,Location5,14,1,509488.23397696373
2089,4,3,Location5,17,2,552569.3150600323
1203,2,3,Location5,24,2,354790.29543222213
1281,2,2,Location3,117,1,262829.61648281675
3181,3,1,Location3,58,2,631943.105512812
2028,4,3,Location5,63,1,567746.5601497012
3485,2,3,Location4,34,0,819976.3139978752
4184,2,1,Location1,51,1,804225.8934515796
3292,4,3,Location2,112,1,666166.8045793329
2880,5,1,Location3,86,0,545523.9840021521
1123,4,2,Location4,10,2,409507.55534967716
2993,3,2,Location4,118,0,692283.9872439967
3717,5,2,Location2,72,2,720735.6680068623
3193,1,1,Location2,21,2,663238.4283554109
2568,4,3,Location4,37,1,742085.7029228823
1701,3,2,Location2,7,0,357191.4378165512
2353,5,2,Location4,90,1,529246.5766239851
2436,4,2,Location2,13,0,558995.4978374632
3744,2,3,Location2,80,0,829115.612589485
3441,4,3,Location4,30,1,802259.2333698549
2896,1,1,Location5,31,2,713697.6048325663
2694,4,2,Location4,5,2,663155.8673365414
1744,5,3,Location1,32,0,376226.5016428272
2861,5,1,Location2,16,2,507329.39170251996
2886,4,2,Location3,111,1,629190.8987938684
1679,5,3,Location2,73,1,395471.8132898223
2997,2,3,Location1,22,1,546706.4575509487
706,4,1,Location3,64,0,218614.23871137854
3478,2,2,Location3,119,0,702517.8687199765
647,2,2,Location4,44,2,131235.22755029553
4244,3,3,Location5,40,1,980067.7996690245
936,4,2,Location4,109,1,327908.91911211645
1649,5,1,Location3,37,0,444414.44503955025
3451,2,3,Location3,78,0,686004.7886416555
1880,3,3,Location5,16,0,464685.76639340265
2655,4,1,Location2,43,1,561747.2738615695
1224,4,3,Location5,84,1,395169.7780422036
2490,1,2,Location4,63,2,580118.5233757868
1876,1,2,Location2,108,1,423076.6930052111
2315,2,3,Location4,15,2,516248.76817346347
3366,1,1,Location5,44,2,866715.9807369115
902,2,1,Location2,90,1,144348.4295135055
1238,5,2,Location5,9,2,364206.4407594227
655,2,1,Location1,65,2,121405.19261389764
1325,1,3,Location3,99,0,286321.1727666537
1125,5,3,Location2,44,1,309520.9818265424
1073,1,2,Location3,20,2,326181.1940568147
627,2,2,Location1,109,2,166892.7939802619
2725,3,2,Location2,119,2,474536.3990981421
3887,4,1,Location3,70,1,691555.4568712388
4057,1,3,Location3,106,0,848514.6073616393
964,2,3,Location2,74,0,274521.2405516603
3313,5,3,Location3,112,1,758555.6886262132
1125,1,2,Location3,33,1,283525.5406405073
3346,1,3,Location2,80,1,667337.7559905204
1935,4,1,Location3,100,1,403922.7119826408
1482,2,1,Location3,6,0,370325.6386196408
1630,3,3,Location4,83,2,413518.10294184595
1626,5,2,Location4,31,2,408021.37719597155
2246,2,3,Location1,66,1,429579.8612951993
1518,5,1,Location4,18,1,419190.50968001445
3397,1,1,Location4,106,2,792859.5731501386
3010,4,1,Location1,28,0,460911.7383014472
2374,4,3,Location3,68,1,582683.7529252903
2131,3,1,Location3,65,1,476714.6085146544
3945,4,2,Location4,111,0,914556.9613368004
4177,1,3,Location1,106,0,742711.76599958
3453,3,3,Location3,114,0,586647.0363440039
3386,2,1,Location5,80,1,855051.6575204569
2506,4,1,Location2,45,0,546903.4629958399
3686,3,2,Location2,58,1,633318.298250993
1815,1,3,Location2,47,1,307577.0281938821
2254,5,1,Location4,66,0,574570.1972487797
1084,5,2,Location2,52,2,293176.56188624736
2675,1,1,Location2,36,0,472702.0523809641
1313,1,3,Location5,1,2,476301.1494871625
1662,5,1,Location3,39,0,407071.02420273336
2576,3,3,Location5,87,0,542447.9646066093
1896,5,1,Location4,90,1,421800.71094354003
1854,1,3,Location2,75,1,440526.88674513204
2733,4,2,Location3,106,1,588865.995889482
4145,2,3,Location2,1,1,745706.3233503932
725,4,2,Location2,75,1,233549.26111309818
3459,4,3,Location4,88,1,759091.9040682883
1136,1,2,Location2,74,1,200017.0983334824
2792,5,1,Location1,14,2,565955.5611253001
4196,3,3,Location3,78,2,924824.5607590739
3883,4,1,Location3,71,1,814772.7526584404
2672,5,2,Location1,23,2,426309.8583574557
2203,3,3,Location4,43,0,627185.7819472357
4065,4,3,Location2,22,2,876322.8933181496
666,3,1,Location2,60,1,253622.29921588686
832,5,3,Location3,100,2,284947.61550736945
2756,2,3,Location4,27,0,643061.7191934114
1769,5,1,Location4,56,2,485483.27447874227
2758,1,3,Location4,2,1,589618.1846561468
2875,3,1,Location2,39,0,521177.68716862745
710,2,1,Location4,51,0,188281.24486156684
2093,3,1,Location1,110,2,419108.4484097528
2681,3,1,Location5,19,0,672971.3027228718
1222,4,1,Location4,62,0,280803.6398494403
4447,1,2,Location5,71,0,938912.0303177964
4040,3,2,Location2,76,1,770049.0927430225
3395,5,1,Location4,67,0,705012.2575617399
3242,5,2,Location3,63,2,637726.3898271123
4225,4,2,Location2,111,2,897296.8102772787
3072,1,3,Location1,5,0,651684.1828032115
3260,1,1,Location1,72,2,535907.9029240432
2141,5,2,Location5,78,0,469935.0286222085
3339,2,3,Location5,61,2,887284.9054732019
1905,4,3,Location3,100,0,454505.0801255434
3991,4,1,Location3,71,0,839056.8522097643
2361,5,1,Location1,7,0,403572.3254319119
4114,5,3,Location4,50,1,877715.1004064883
2575,2,1,Location1,46,2,451758.48795191385
2962,2,1,Location1,96,0,508494.4307055918
1476,1,3,Location3,72,1,319539.5466176152
2589,4,3,Location5,76,1,734354.5047727525
4412,4,1,Location3,74,0,789033.6129705885
4048,5,2,Location3,14,0,853886.9176688744
1912,1,1,Location3,73,0,414361.13657435303
2060,4,2,Location1,102,0,441701.04261369666
3309,1,3,Location4,94,0,681427.3238695152
2924,1,2,Location1,69,2,550611.450916238
2333,5,3,Location2,65,0,505820.2914292576
2205,1,1,Location3,65,0,474146.9885433089
2126,2,1,Location3,57,2,429743.66332460416
3271,2,3,Location2,62,1,590775.2931558201
3163,3,3,Location3,20,2,674044.3996739263
4021,5,3,Location3,113,1,807175.0509652911
3490,3,1,Location3,75,1,776405.6273376393
4117,2,1,Location2,26,2,773950.8884519965
2997,3,2,Location1,44,0,563008.0029241827
2230,5,3,Location3,67,1,443993.65968504
4335,5,2,Location4,70,0,858006.4271675495
3470,1,1,Location2,62,2,641275.3607551325
1760,4,2,Location5,107,1,416511.88487104053
1358,1,2,Location2,45,0,296023.9632823392
3546,5,1,Location1,11,1,578424.7449633977
842,2,1,Location2,72,1,227235.28160527343
3190,2,3,Location5,93,2,750934.1135410316
1663,1,2,Location4,74,0,430493.650175931
828,5,1,Location5,34,0,238918.00933345561
3195,2,1,Location2,88,1,504843.8508519016
1519,5,2,Location5,46,0,478497.1506563915
1846,2,1,Location2,112,1,333869.5813744839
605,5,3,Location4,81,2,319564.1667756542
3993,3,3,Location4,32,2,874167.7791762401
1067,5,2,Location1,75,0,198917.05296144378
2355,5,3,Location4,98,2,575335.7094739431
674,1,1,Location3,88,2,174228.7172644977
603,3,1,Location5,119,0,213746.40672135013
2470,4,1,Location5,5,1,656989.6000687415
1245,1,1,Location2,63,2,310622.98210193694
717,4,2,Location4,29,0,240204.64960651108
3528,2,3,Location1,48,0,529401.9257116248
2229,4,3,Location1,112,0,498081.97403875453
3151,5,1,Location1,98,2,540423.945881631
2621,4,2,Location3,16,2,568401.8520154706
1546,1,1,Location4,25,1,384126.0418140889
3221,1,1,Location1,101,1,527964.4467620956
2064,4,2,Location3,72,1,384099.3568367441
793,1,2,Location5,29,1,298206.2597584146
1446,1,1,Location2,52,1,267704.9257654542
3362,4,3,Location4,46,1,760923.0993737563
2015,3,1,Location4,25,0,570591.9767530914
3697,3,3,Location5,106,1,937386.3790923682
2058,2,3,Location4,23,2,604431.9158704138
2820,1,2,Location4,34,1,610845.3640681283
3971,4,2,Location4,67,2,930394.8006743378
2268,1,1,Location4,94,1,538759.125133534
2973,5,3,Location3,114,0,631192.8333137564
2033,1,3,Location3,117,0,402762.15688686207
1741,1,1,Location2,34,2,422807.2180728318
3483,3,1,Location4,32,1,752487.3488428186
2410,4,1,Location5,117,0,601058.1488026968
1323,1,2,Location1,29,0,309625.6734393969
824,3,1,Location2,9,1,173935.63620094396
1131,2,1,Location1,66,2,190298.2597075186
712,3,3,Location1,57,2,327765.27186030743
2787,3,1,Location4,39,2,608777.9376071077
1158,3,3,Location5,7,0,443240.7683241595
2648,1,3,Location1,110,1,465349.83281485667
2737,1,2,Location1,69,0,449976.23132841155
1253,2,1,Location2,8,0,263056.59204291325
919,5,1,Location5,96,0,288551.15489322
2173,5,3,Location5,119,0,637633.6546288196
2428,5,2,Location1,118,1,484845.0368593664
2517,2,2,Location5,18,0,618565.2894191361
738,5,1,Location2,102,0,105214.55604579386
4182,5,3,Location2,110,2,799740.8992586207
3492,3,1,Location2,82,0,651197.7971437746
2626,1,1,Location4,49,1,658351.8433754809
2906,1,1,Location1,105,0,411793.6878574006
4344,3,1,Location5,109,1,981252.3185478519
1501,3,3,Location2,16,1,322699.53388429334
1289,3,2,Location1,21,1,275036.0622755308
2639,1,1,Location1,10,2,477202.19853493007
609,5,1,Location4,106,2,251539.46927696306
860,3,1,Location5,4,0,185985.03737476197
2542,2,1,Location5,44,0,628876.8906759955
2273,3,2,Location2,8,0,473171.50635571673
2819,4,2,Location2,111,1,555440.561310401
3545,3,2,Location1,117,1,595829.1896113324
2660,1,2,Location5,55,1,486169.24102939543
1791,3,1,Location5,19,0,502125.22863367316
4313,4,3,Location2,111,0,748432.7447109704
2219,2,2,Location3,64,0,509689.5246462305
920,5,2,Location1,40,0,284707.240839006
1942,3,1,Location5,104,2,429742.8423043712
2236,4,1,Location4,51,2,578126.9630483264
2976,4,1,Location4,9,2,638037.4993345371
3432,2,1,Location3,30,0,691720.1295850154
3424,1,3,Location2,56,2,652470.7417058367
2594,3,3,Location2,81,2,567338.9025335202
3558,4,2,Location2,104,0,696138.0575548322
2543,2,3,Location4,44,2,628226.814438492
4221,5,2,Location2,59,0,704409.1089584308
2638,4,2,Location4,15,0,495529.4018588882
4090,2,3,Location3,68,0,869222.1157531352
4277,1,2,Location1,70,1,747473.4146943057
1718,1,1,Location5,61,0,387457.9827880488
4488,4,2,Location3,80,2,933687.2861309822
2204,4,1,Location4,90,2,526176.4082067639
2965,3,3,Location3,101,0,676680.5838839839
835,2,3,Location5,23,1,300265.2478108397
2569,4,2,Location1,77,1,513129.51166296034
933,3,1,Location5,47,1,269355.7194026063
2508,3,2,Location4,17,2,624159.1759324839
975,4,3,Location5,57,1,313140.1088941573
4130,1,2,Location3,54,1,797101.1236574145
1760,2,2,Location2,91,0,243294.50284692482
3235,2,1,Location3,52,1,710986.0178366186
2170,1,3,Location4,22,1,616402.6806688649
3160,4,2,Location1,101,1,484480.2529811295
1919,2,1,Location5,83,0,517525.7704064978
3991,4,2,Location1,39,0,710565.9547637082
3565,4,1,Location4,99,1,764501.0728534211
4243,3,1,Location5,13,2,975171.7444952581
2455,1,2,Location3,78,2,591693.2287727639
1972,4,3,Location3,112,0,501787.54122943856
4450,5,3,Location4,95,1,1010704.4956656228
1472,1,1,Location5,109,2,374009.52542352467
1852,2,3,Location3,66,1,485128.7706135391
2917,3,1,Location4,110,0,603425.7503064427
2451,2,3,Location4,52,2,666964.8563889941
3445,2,2,Location1,103,0,660000.3611229614
1914,1,3,Location3,101,1,489850.00327919936
1324,2,1,Location5,14,0,386628.40861766424
3836,4,1,Location3,73,0,644998.383164627
2652,2,3,Location3,74,0,554664.961715726
3498,3,2,Location3,63,0,803612.0016085331
4050,3,1,Location4,71,2,939926.8233797305
677,5,1,Location2,28,1,228774.70200900265
4081,3,1,Location2,110,2,721602.7521820363
3221,2,1,Location1,89,1,598690.2949634197
731,3,1,Location3,46,1,142307.62075472792
1200,1,2,Location2,28,1,270462.20278298605
2372,3,3,Location1,2,1,536553.9777331725
1665,4,2,Location4,17,1,401404.4867595046
2736,1,2,Location3,59,2,616443.4665667438
3049,5,1,Location5,52,1,669697.7989917278
2943,4,2,Location4,4,0,649850.8748454005
2463,2,1,Location1,77,2,452183.1409316974
1918,2,2,Location4,82,2,495899.0017734771
1215,2,1,Location5,3,1,463018.244191732
4197,4,1,Location4,115,0,875372.458884278
3447,4,2,Location1,37,0,626331.817121142
4362,4,2,Location5,97,1,1056843.13240215
4308,1,3,Location5,105,1,975197.5339757954
3069,1,3,Location4,24,0,741308.3437547181
2488,2,3,Location5,72,2,679592.6144089486
1646,3,2,Location4,35,2,425336.23359859263
1174,2,2,Location3,2,1,319167.1216269978
2790,5,1,Location5,33,2,669577.3906324765
1592,1,3,Location4,76,2,373904.6364378357
3312,4,1,Location3,86,0,675098.1483133102
2792,1,1,Location5,77,2,719957.7106016071
1848,4,1,Location3,10,0,406924.5085395811
3654,5,1,Location5,81,1,848909.1270934377
1102,5,3,Location1,62,1,250323.9229363391
2597,1,1,Location1,43,0,487820.8449453126
1420,4,2,Location4,69,0,307744.24344798113
4287,5,2,Location2,59,1,849334.451106248
2751,2,2,Location1,9,0,511168.7585178365
3710,2,3,Location2,77,1,632057.2393930353
2570,4,1,Location3,60,1,544196.4412615936
797,1,3,Location3,63,1,266991.5832261569
2269,5,1,Location2,52,1,370998.50080091425
3226,1,3,Location4,23,1,682915.9074149985
3038,2,3,Location5,30,1,681394.3930761353
1802,5,1,Location2,43,2,370554.9523597881
3201,1,3,Location2,119,2,665543.5949670281
2071,3,1,Location2,68,1,460652.2247315454
4171,4,2,Location2,21,2,770172.6296912611
3686,4,2,Location2,43,0,746361.0478764046
2246,3,2,Location4,73,0,562452.0734333275
2292,2,3,Location1,7,1,495716.4598973589
1912,5,2,Location5,16,2,541404.7047828429
2635,4,1,Location1,23,0,496443.85487331304
1077,3,2,Location2,58,0,425540.0407208385
1854,3,2,Location1,87,0,331181.328691637
1522,2,3,Location4,31,0,394004.897742644
1019,2,1,Location3,69,2,265138.8945193996
2804,1,3,Location1,6,0,491354.8225721282
3197,4,3,Location5,115,0,807355.1406570533
4112,1,1,Location4,65,0,875205.4330874493
1720,3,3,Location3,59,1,345661.522037607
3668,5,1,Location4,112,0,805290.443562278
3644,5,2,Location2,28,0,669148.523812651
4082,2,1,Location3,18,2,745342.0587020322
1550,5,1,Location5,88,0,482767.61159725615
2936,5,1,Location3,77,0,589198.7654988552
1877,5,3,Location5,97,0,531442.323477436
2843,3,1,Location2,10,1,398075.49722841475
3245,5,1,Location5,7,2,842420.1007600073
2457,5,1,Location4,37,2,585072.3124411437
4193,5,2,Location1,96,1,636687.5934524838
1116,1,1,Location4,45,1,274004.03602336836
2258,3,3,Location4,86,2,525177.6900788236
2465,2,1,Location3,16,0,559329.7697313826
3512,1,1,Location2,88,2,658185.3422006876
1741,4,2,Location1,116,1,263105.53825442184
3453,3,1,Location5,118,0,828031.193474092
2532,3,3,Location3,14,2,472606.88176355377
3830,4,1,Location2,11,0,658944.3222379382
1414,4,3,Location1,83,0,293872.60235621966
2875,4,2,Location4,87,1,635438.0965127309
2500,2,1,Location2,34,2,558897.5767986475
2863,5,2,Location2,60,1,579641.1297430531
3595,3,1,Location2,104,2,707544.9469124117
4367,5,3,Location4,13,2,1028473.9717415457
2662,5,2,Location5,39,0,654911.346969875
3828,4,1,Location3,44,0,721832.9737357734
4319,2,3,Location5,28,0,1013188.6889327093
3932,1,2,Location1,40,1,705361.1587846631
3828,2,1,Location3,16,0,755497.6355953783
2694,5,2,Location1,50,1,524647.6913527444
2971,2,1,Location4,115,0,647142.7977328481
3491,4,3,Location5,28,1,789348.3000158545
4356,1,3,Location2,68,2,737559.7290214981
729,4,2,Location3,92,1,306495.67477004195
4082,1,2,Location2,60,1,691933.7435547097
694,5,1,Location1,12,1,160780.38144461866
3274,1,3,Location2,16,2,685177.3523970967
3402,1,1,Location2,53,1,571706.77431232
2555,1,3,Location4,54,2,575225.3644997241
3963,2,2,Location4,49,0,850758.6584623995
1393,2,1,Location5,36,0,363167.05355374265
2434,5,1,Location1,62,2,407133.8149306842
3954,1,3,Location4,84,1,857450.1145405812
2716,3,3,Location4,26,0,671318.2512395324
2283,5,3,Location5,56,1,609476.8772809299
610,1,2,Location3,90,1,156316.59388406182
3925,1,1,Location5,22,2,977058.8824439208
2465,2,3,Location2,73,0,571511.9296398743
3519,5,2,Location2,69,2,734784.0443483787
3197,1,3,Location4,81,2,674215.5823790403
3805,1,1,Location4,49,2,780894.6574957406
1311,5,3,Location5,98,2,437495.82391200925
2670,3,1,Location5,2,1,680916.296496452
1414,5,2,Location1,53,0,233501.18355025048
945,5,2,Location2,119,0,252438.69691630456
2949,3,3,Location5,7,0,743457.447550065
962,5,1,Location3,100,1,340655.9224593216
3043,1,1,Location1,77,1,495435.16564538877
2865,5,1,Location5,20,2,804820.1227901251
2788,3,3,Location4,94,2,733116.8749201125
4287,4,1,Location5,30,2,991779.9039775014
3605,5,1,Location4,75,2,836376.7813605195
3881,2,1,Location4,95,0,818502.1645322375
1584,1,1,Location2,67,2,325695.2477405457
3640,1,3,Location2,59,1,697524.098583496
4294,2,3,Location5,66,1,975755.346306881
2239,2,1,Location5,112,1,476609.3559689234
1427,5,1,Location3,3,2,347430.5012163754
3330,2,2,Location1,56,0,625824.0287423941
4131,4,2,Location1,79,0,684004.386916747
3651,3,1,Location5,17,2,885891.8007482431
955,2,1,Location2,112,2,273723.47348740033
3655,2,2,Location3,52,1,668953.8152775894
1947,4,2,Location1,7,1,405165.37519119994
3804,1,1,Location5,112,0,950316.6749304096
3535,1,3,Location2,5,1,679591.5508276655
4476,5,3,Location2,98,1,743855.053699731
2463,4,1,Location2,97,2,492071.4431151146
726,3,1,Location4,54,0,257256.8574438989
3777,3,2,Location2,61,2,725256.726582892
3656,4,2,Location5,109,0,880670.6223428798
1203,3,3,Location3,16,2,356266.48140539066
4470,1,1,Location5,101,0,961919.8463753588
4049,3,2,Location2,67,1,714578.3197188621
2528,3,3,Location3,59,0,531261.8174827436
1613,4,3,Location1,47,0,346943.6656738988
650,4,3,Location1,48,2,139285.83707677567
3700,3,2,Location5,107,0,972440.8672215944
4133,2,2,Location3,115,0,695009.521278826
3967,4,1,Location5,64,0,844781.7606106286
3968,5,1,Location3,50,2,852323.6150285837
4397,5,3,Location3,85,0,917797.4286236544
3426,1,3,Location5,41,2,837753.4031313824
2030,3,2,Location3,72,1,493241.964859019
2392,2,2,Location2,22,2,519161.0970284294
3461,1,1,Location3,115,0,680824.0114892997
2236,3,1,Location3,54,1,504115.83476252126
4076,4,1,Location5,5,0,805881.3220006654
4017,5,2,Location1,17,2,698851.6522943829
2245,2,3,Location4,101,1,535334.3404437482
3067,5,1,Location3,78,1,744469.4788057508
1805,4,1,Location4,103,1,405123.18059154076
3630,3,2,Location3,41,0,740502.727656608
3472,4,1,Location5,92,1,903845.7178149587
3672,4,3,Location5,95,1,921765.6372022083
2454,5,2,Location3,81,1,547714.2458179614
1166,2,1,Location5,35,1,392096.04292325245
3018,4,1,Location5,40,2,717623.8551243481
1535,5,2,Location3,22,0,466197.4299913385
2534,2,2,Location1,109,0,473144.7729489797
3308,3,1,Location3,48,1,603229.8118168546
4102,3,3,Location1,53,2,680679.490926788
3616,1,2,Location5,93,1,743659.3568265641
1932,5,3,Location1,10,0,424388.56961834757
3808,2,1,Location5,18,0,918631.4664594305
801,4,3,Location1,99,0,176256.2179175851
4107,3,1,Location1,108,1,743107.8546043836
2960,2,1,Location3,80,1,607103.5817004474
716,5,1,Location1,114,2,322889.26728974655
4337,1,1,Location5,49,2,951766.23264791
1536,3,3,Location3,71,0,401540.49863179214
4474,2,1,Location1,30,0,714629.9091198241
1174,2,1,Location3,19,2,274331.9491337674
2891,2,3,Location4,55,0,651811.8083415948
1136,5,2,Location3,60,2,340190.10916232324
2225,5,3,Location4,87,1,558417.9658824696
2722,5,3,Location4,72,0,678242.1389209575
4477,4,3,Location3,81,0,933744.8046190335
985,2,1,Location5,21,2,392093.2162129516
3881,3,1,Location5,26,1,862581.2177930454
1074,5,1,Location5,28,0,257769.5001879146
1017,5,2,Location2,39,0,257168.69939188517
2994,2,1,Location4,33,2,646901.7883388305
4200,5,2,Location3,40,1,910337.1140235979
3287,4,1,Location5,83,2,753134.6463861042
1538,4,3,Location5,29,1,429226.65732569975
1554,5,1,Location3,20,1,368222.70370308514
1475,2,2,Location4,20,2,489781.50393553363
1362,2,2,Location3,74,2,447885.5664351303
1802,2,1,Location2,12,1,321175.8824268739
1805,1,3,Location2,97,2,276435.10966959066
1263,5,1,Location3,25,0,293441.01032783685
624,2,1,Location4,25,0,203033.4376137478
2590,4,1,Location5,117,0,629967.9638354188
1803,3,3,Location2,4,0,387356.74957787147
1309,3,2,Location2,4,0,343152.3242434693
4172,2,3,Location4,9,2,918095.7472734888
2479,3,2,Location2,15,1,513422.4963756566
1784,3,2,Location2,26,2,427662.06126424775
2824,1,2,Location4,79,0,639026.8999938457
884,4,3,Location3,90,0,289145.37592542404
662,4,1,Location5,92,2,168367.6485760355
1602,1,1,Location5,71,2,439416.30792036204
1261,1,1,Location2,32,1,292330.6970777278
3313,3,1,Location5,76,0,775482.6249261982
2803,5,1,Location3,99,2,578001.2185534622
2092,3,3,Location2,52,1,464775.22629720723
3720,1,3,Location5,32,0,888371.1515693618
1566,4,3,Location1,9,0,322190.35545025783
1448,3,3,Location1,78,0,277420.45812364126
1707,5,3,Location1,13,2,352027.9394062891
4032,3,3,Location1,56,0,645810.8070439594
1288,2,3,Location1,44,0,245139.8624083698
747,3,1,Location2,97,1,151487.88778040733
4301,1,2,Location4,96,2,914859.8520697927
941,4,3,Location4,83,1,317462.8211294952
3123,4,2,Location2,30,2,662321.3742615898
1686,1,3,Location2,16,0,357117.68379989185
2324,2,3,Location3,12,1,519449.05717277544
1983,1,1,Location4,74,2,483738.5646438524
3208,3,2,Location1,66,2,617447.6614913031
926,1,1,Location2,18,0,207364.10358443906
2392,1,1,Location1,13,0,442385.99617139105
2359,2,2,Location4,93,1,570625.8435781129
3812,3,1,Location5,24,1,877309.7237670994
1589,5,3,Location5,102,2,508688.49535611924
2862,5,3,Location2,12,1,481437.28135368205
3082,4,3,Location3,60,0,708406.925560374
1551,1,3,Location1,60,1,249744.16549901702
1322,4,3,Location2,93,1,307802.59396432067
3989,2,1,Location3,86,2,846684.6220386944
2679,5,1,Location1,100,0,450498.84030220425
3317,1,3,Location4,1,2,777967.6025694732
2932,2,3,Location5,43,0,764154.0399453094
3976,2,1,Location3,55,0,880570.9905400289
1028,1,2,Location1,40,2,233647.67557073562
2100,2,1,Location2,64,1,429541.59776470414
885,1,1,Location1,34,2,208693.14968116133
3815,1,1,Location2,34,1,690923.8454116147
4095,3,1,Location5,48,2,907799.6261195361
3690,4,1,Location5,33,2,843515.3501558619
2665,2,2,Location1,68,1,472875.9469593571
1368,2,3,Location1,102,1,299014.59633449744
3237,3,3,Location2,30,1,696616.3231364096
1994,3,2,Location2,117,2,407579.87637023366
3846,3,3,Location3,116,1,864809.569247672
3657,5,3,Location3,110,1,706994.6144361884
793,5,3,Location3,84,1,265951.69993003324
3149,5,2,Location1,90,0,537189.3365315039
1587,1,2,Location3,79,1,301057.2494637381
1736,2,3,Location1,71,1,256225.671123371
2761,4,3,Location5,71,1,684748.1972709313
3893,1,3,Location4,114,0,822160.8892634108
2301,2,1,Location5,29,0,527730.4352539444
1546,2,1,Location1,23,1,342221.96868194075
1430,3,1,Location1,34,1,270135.4183171821
4315,3,2,Location4,84,1,892087.3013205023
2520,1,3,Location2,15,1,494418.23022691684
3935,3,2,Location2,97,0,691807.4807750089
3572,2,2,Location2,53,1,754932.7191314618
654,3,2,Location3,17,0,194309.48184385744
4314,5,3,Location2,64,2,780675.0959177207
1399,3,1,Location3,84,0,408379.3477759197
1377,2,3,Location3,61,2,391727.86629961815
2081,1,3,Location2,57,0,424756.3581106663
2501,4,2,Location2,77,0,455087.34856028325
2809,3,2,Location4,108,0,671933.883937298
4051,2,2,Location4,88,1,809646.2134814917
2734,4,1,Location3,118,0,602191.6189920562
654,4,1,Location4,111,1,233220.15314529696
4147,5,1,Location3,37,0,889034.9966906223
2423,4,3,Location1,7,0,335587.62501222343
1801,2,2,Location3,8,2,384997.1852814323
4062,2,3,Location3,87,0,765845.5963901134
4020,3,1,Location4,78,1,819835.5308932291
3679,3,2,Location1,68,2,659940.8659056776
1432,3,1,Location5,21,2,405627.4094946312
912,4,2,Location5,61,0,255305.6161852092
3406,4,2,Location5,110,0,759227.6604872677
2458,5,3,Location1,74,2,423761.42775661754
2607,3,3,Location2,86,1,565492.2556006189
2606,1,1,Location1,94,0,438285.39897474175
3090,5,3,Location4,94,2,775054.5668847674
2390,1,3,Location3,80,1,652713.6829986395
927,4,3,Location3,75,0,264367.011009522
3725,5,2,Location4,86,2,778607.7631953019
3408,5,3,Location4,29,2,798784.5292267237
3910,2,1,Location3,25,0,874554.5380122501
3900,4,2,Location2,58,1,791381.1311254742
3226,4,2,Location2,14,1,599340.3389923667
3722,5,3,Location2,78,2,711832.1803730384
4280,4,2,Location4,66,1,982654.7052890749
4275,5,1,Location3,54,2,903302.2861981881
3654,2,1,Location3,77,0,766315.7691875744
1887,5,2,Location3,67,1,434459.8628309088
4089,4,3,Location1,30,0,720179.9475212509
4474,4,3,Location1,18,2,760676.9502824217
2743,5,2,Location5,54,0,761229.5764445578
1711,5,1,Location1,100,1,258335.26751481812
3749,5,2,Location2,21,0,637552.4415431174
1911,3,3,Location2,53,1,375986.57417923154
3791,4,3,Location2,83,1,689540.5464955646
3461,4,2,Location2,16,1,593826.2076677626
3138,3,1,Location5,28,1,680948.5703720708
1051,5,2,Location2,4,1,333012.0993388814
2123,2,1,Location4,115,2,495594.9309822424
764,5,1,Location4,55,0,234866.54625480773
781,5,2,Location4,15,2,289269.8347886502
3116,3,2,Location1,64,0,618627.4552015839
1509,4,1,Location3,65,0,360475.06675272336
3382,5,1,Location5,112,0,800641.9894530087
1422,4,1,Location4,111,2,348994.4199885409
1543,1,1,Location4,16,1,419337.15239605145
2601,4,3,Location2,118,1,519270.7175248677
2654,2,2,Location4,20,2,714015.9266245253
929,2,1,Location2,64,1,219299.19520457851
1374,5,2,Location2,33,0,370636.4497685655
4344,4,1,Location3,81,1,836702.6833693748
2798,5,2,Location1,69,1,472377.87842034694
3756,3,2,Location2,69,1,614992.2998804199
746,2,1,Location2,58,0,228857.43097399524
4295,5,1,Location3,39,1,873572.402653253
4052,3,2,Location2,77,1,786094.1465427218
1514,5,2,Location5,108,1,520404.8444278399
2171,4,2,Location1,36,2,378996.59743903606
1908,4,3,Location5,94,2,484789.6795178539
3347,4,1,Location4,68,1,713200.4703695523
681,4,3,Location1,87,2,93535.43185385536
1113,1,3,Location4,21,2,323698.49995257927
2520,3,1,Location2,63,0,530893.9808457214
3462,3,1,Location3,85,2,718971.8556890477
3356,4,3,Location5,6,2,775006.3212176504
2539,1,1,Location4,24,1,564516.7675130665
4194,4,2,Location2,111,0,776016.5464075916
1345,1,2,Location5,53,0,418271.5525985579
3670,4,3,Location5,95,0,921963.4276481192
2009,2,3,Location4,83,2,487632.9830350948
1306,2,1,Location2,102,1,267163.6078410722
1070,5,1,Location3,76,0,309762.53204572503
3790,4,3,Location4,78,0,815516.8554438871
995,3,3,Location5,50,2,386118.21858300274
2155,5,2,Location5,12,0,542184.211950333
2908,2,2,Location1,56,1,589036.8804158695
1404,4,1,Location2,15,0,326143.62778030406
